text,label,Disease
"The main sign of FAP is hundred or even thousand of polyp growing in your colon and rectum, usually starting by your mid-teens. The polyp are nearly 100 percent certain to develop into colon cancer or rectal cancer by the time you're in your 40s. Causes Familial adenomatous polyposis is caused by a defect in a gene that's usually inherited from a parent. But some people develop the abnormal gene that cause the condition. Risk factor Your risk of familial adenomatous polyposis is higher if you have a parent, child, brother, or sister with the condition. Complications In addition to colon cancer, familial adenomatous polyposis can cause other complications: Duodenal polyps. These polyp grow in the upper part of your small intestine and may become cancerous. But with careful monitoring, duodenal polyp can often be detected and removed before cancer develops. Periampullary polyps. These polyp occur where the bile and pancreas duct enter the duodenum (ampulla). Periampullary polyp might become cancerous but can often be detected and removed before cancer develops. Gastric fundic polyps. These polyp grow in the lining of your stomach. Desmoids. These noncancerous mass can arise anywhere in the body but often develop in the stomach area (abdomen). Desmoids can cause serious problem if they grow into nerve or blood vessel or exert pressure on other organ in your body. Other cancers. Rarely, FAP can cause cancer to develop in your thyroid gland, central nervous system, adrenal glands, liver or other organs. Noncancerous (benign) skin tumors. Benign bone growth (osteomas). Congenital hypertrophy of the retinal pigment epithelium (CHRPE). These are benign pigment change in the retina of your eye. Dental abnormalities. These include extra teeth or teeth that don't come in. Low number of red blood cell (anemia). Prevention Preventing FAP is not possible, since it is an inherited genetic condition. However, if you or your child is at risk of FAP because of a family member with the condition, you will need genetic testing and counseling. If you have FAP, you will need regular screening, followed by surgery if needed. Surgery can help prevent the development of colorectal cancer or other complications. By Mayo Clinic Staff By Mayo Clinic Staff Familial adenomatous polyposis care at Mayo Clinic",366,Familial Adenomatous Polyposis
"joint pain,neck pain,knee pain,hip joint pain,swelling joints",700,Osteoarthristis
"skin rash,chill,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain",275,Dengue
"continuous sneezing,shivering,chill",35,Allergy
"chill,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"chill,vomiting,fatigue,weight loss,cough,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
I have asthma like symptom like wheezing and difficulty breathing. I often get fever and have headaches. I feel tired all the time. I have a runny nose and itchy eyes.,35,Allergy
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"continuous sneezing,shivering,chill,watering from eyes",35,Allergy
"I'm experiencing a high fever, chills, nausea, and severe itching. I also have a headache and have been sweating a lot. I've also been experiencing muscle aches.",596,Malaria
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"Polymorphous light eruption on the chest Open pop-up dialog box Close Polymorphous light eruption on the chest Polymorphous light eruption on the chest Polymorphous light eruption is a rash that affect part of the body that are exposed to more sunlight a daylight hour get longer, such a the front of the neck and chest. Polymorphous mean that the rash can have many forms, such a tiny bumps, raised area or blisters. Polymorphous light eruption on the chest Open pop-up dialog box Polymorphous light eruption on the chest Open pop-up dialog box Open pop-up dialog box Close Polymorphous light eruption on the chest Polymorphous light eruption on the chest Polymorphous light eruption is a rash that affect part of the body that are exposed to more sunlight a daylight hour get longer, such a the front of the neck and chest. Polymorphous mean that the rash can have many forms, such a tiny bumps, raised area or blisters. Close Polymorphous light eruption on the chest Polymorphous light eruption on the chest Polymorphous light eruption is a rash that affect part of the body that are exposed to more sunlight a daylight hour get longer, such a the front of the neck and chest. Polymorphous mean that the rash can have many forms, such a tiny bumps, raised area or blisters. Close Polymorphous light eruption on the chest Polymorphous light eruption on the chest Polymorphous light eruption is a rash that affect part of the body that are exposed to more sunlight a daylight hour get longer, such a the front of the neck and chest. Polymorphous mean that the rash can have many forms, such a tiny bumps, raised area or blisters. Close Close Close Polymorphous light eruption on the chest Polymorphous light eruption on the chest Polymorphous light eruption is a rash that affect part of the body that are exposed to more sunlight a daylight hour get longer, such a the front of the neck and chest. Polymorphous mean that the rash can have many forms, such a tiny bumps, raised area or blisters. Polymorphous light eruption on the chest Polymorphous light eruption is a rash that affect part of the body that are exposed to more sunlight a daylight hour get longer, such a the front of the neck and chest. Polymorphous mean that the rash can have many forms, such a tiny bumps, raised area or blisters. Polymorphous light eruption is a rash that affect part of the body that are exposed to more sunlight a daylight hour get longer, such a the front of the neck and chest. Polymorphous mean that the rash can have many forms, such a tiny bumps, raised area or blisters. How skin with sun allergy look varies widely depending on the color of your skin and what's causing the symptoms. Signs and symptom may include: Itchiness (pruritus) Stinging Tiny bump that may merge into raised patch A flushing of the exposed area Blisters or hive Symptoms usually occur only on skin that ha been exposed to the sun or other source of UV light. Symptoms show up within minute to hour after sun exposure.",954,Sun Allergy
"Shoulder dislocation Open pop-up dialog box Close Shoulder dislocation Shoulder dislocation The shoulder joint is the most frequently dislocated joint of the body. Because it move in several directions, your shoulder can dislocate forward, backward or downward. The most common variety is a forward (anterior) dislocation. Shoulder dislocation Open pop-up dialog box Shoulder dislocation Open pop-up dialog box Open pop-up dialog box Close Shoulder dislocation Shoulder dislocation The shoulder joint is the most frequently dislocated joint of the body. Because it move in several directions, your shoulder can dislocate forward, backward or downward. The most common variety is a forward (anterior) dislocation. Close Shoulder dislocation Shoulder dislocation The shoulder joint is the most frequently dislocated joint of the body. Because it move in several directions, your shoulder can dislocate forward, backward or downward. The most common variety is a forward (anterior) dislocation. Close Shoulder dislocation Shoulder dislocation The shoulder joint is the most frequently dislocated joint of the body. Because it move in several directions, your shoulder can dislocate forward, backward or downward. The most common variety is a forward (anterior) dislocation. Close Close Close Shoulder dislocation Shoulder dislocation The shoulder joint is the most frequently dislocated joint of the body. Because it move in several directions, your shoulder can dislocate forward, backward or downward. The most common variety is a forward (anterior) dislocation. Shoulder dislocation The shoulder joint is the most frequently dislocated joint of the body. Because it move in several directions, your shoulder can dislocate forward, backward or downward. The most common variety is a forward (anterior) dislocation. The shoulder joint is the most frequently dislocated joint of the body. Because it move in several directions, your shoulder can dislocate forward, backward or downward. The most common variety is a forward (anterior) dislocation. Dislocated shoulder symptom can include: A visibly deformed or out-of-place shoulder Swelling or bruising Intense pain Inability to move the joint Shoulder dislocation can also cause numbness, weakness or tingling near the injury, such a in the neck or down the arm. The muscle in the shoulder might spasm, which can increase the pain.",299,Dislocated Shoulder
"Spider vein Open pop-up dialog box Close Spider vein Spider vein Spider vein appear a thin, red line or a weblike network of blood vessel on the surface of the skin. Spider veins, a mild form of varicose veins, typically appear on the leg and feet. Spider vein Open pop-up dialog box Spider vein Open pop-up dialog box Open pop-up dialog box Close Spider vein Spider vein Spider vein appear a thin, red line or a weblike network of blood vessel on the surface of the skin. Spider veins, a mild form of varicose veins, typically appear on the leg and feet. Close Spider vein Spider vein Spider vein appear a thin, red line or a weblike network of blood vessel on the surface of the skin. Spider veins, a mild form of varicose veins, typically appear on the leg and feet. Close Spider vein Spider vein Spider vein appear a thin, red line or a weblike network of blood vessel on the surface of the skin. Spider veins, a mild form of varicose veins, typically appear on the leg and feet. Close Close Close Spider vein Spider vein Spider vein appear a thin, red line or a weblike network of blood vessel on the surface of the skin. Spider veins, a mild form of varicose veins, typically appear on the leg and feet. Spider vein Spider vein appear a thin, red line or a weblike network of blood vessel on the surface of the skin. Spider veins, a mild form of varicose veins, typically appear on the leg and feet. Spider vein appear a thin, red line or a weblike network of blood vessel on the surface of the skin. Spider veins, a mild form of varicose veins, typically appear on the leg and feet. Varicose vein might not cause pain. Signs of varicose vein include: Veins that are dark purple or blue Veins that appear twisted and bulging, often appearing like cord on the leg When painful sign and symptom of varicose vein occur, they might include: An achy or heavy feeling in the leg Burning, throbbing, muscle cramping and swelling in the lower leg Worsened pain after sitting or standing for a long time Itching around one or more of the vein Changes in skin color around a varicose vein Spider vein are similar to varicose veins, but they're smaller. Spider vein are found closer to the skin's surface and are often red or blue. Spider vein occur on the leg but can also be found on the face. They vary in size and often look like a spider's web.",1047,Varicose Veins
